PRODUCT,SCHEME,LOAN_AMOUNT_REQUESTED,REQUESTED_TENURE,REQUESTED_RATE,EFFECTIVE_INTEREST_RATE,EMI_BASE_VALUE,TENURE
5000161,5000131,150000000,180,10,,0,
5000161,5000131,150000000,180,10,,0,
5000161,5000131,150000000,180,10,,0,
5000013,5000015,364000,12,10,,32001,12
5000013,5000015,364000,12,10,,32001,12
5000013,5000015,364000,12,10,,32001,12
5000061,5000126,1246912,13,10.85,10.8490628,100858,13
5000161,5000131,1000000,180,10,,,180
5000152,5000120,6000000,100,10,,,
5000049,5000048,5000,180,10.85,10.6948452,56,180
5000049,5000048,5000,180,10.85,10.6948452,56,180
5000061,5000126,1235801,12,10.85,10.8492065,108784,12
5000161,5000131,1000000,180,10,,,180
5000161,5000131,1000000,180,10,,,180
5000161,5000131,1000000,180,10,,,180
5000054,5000055,1200000,60,10,,,
5000043,5000043,200000,36,10.85,10.8440764,6519,36
5000043,5000043,200000,36,10.85,10.8440764,6519,36
5000043,5000043,150000,34,10.85,10.8432114,5135,34
5000043,5000043,150000,34,10.85,10.8432114,5135,34
5000024,5000025,300000,36,10,,0,36
5000161,5000131,1000000,180,10,,,180
5000032,5000033,100000,28,10.85,10.839545,4051,28
5000049,5000048,195000,36,10.85,10.8449564,6357,36
5000049,5000048,195000,36,10.85,10.8449564,6357,36
5000056,5000056,400000,60,10.85,10.1810145,624,30
5000061,5000126,500000,35,10.85,10.8478492,16709,35
5000061,5000126,500000,35,10.85,10.8478492,16709,35
5000061,5000126,500000,35,10.85,10.8478492,16709,35
5000061,5000126,500000,35,10.85,10.8478492,16709,35
5000061,5000126,500000,35,10.85,10.8478492,16709,35
5000061,5000126,500000,35,10.85,10.8478492,16709,35
5000061,5000126,500000,35,10.85,10.8478492,16709,35
5000061,5000126,500000,35,10.85,10.8478492,16709,35
5000061,5000126,500000,35,10.85,10.8478492,16709,35
5000061,5000126,500000,35,10.85,10.8478492,16709,35
5000056,5000056,400000,60,10.85,10.1810145,624,30
5000061,5000126,500000,35,10.85,10.8478492,16709,35
5000061,5000126,500000,35,10.85,10.8478492,16709,35
5000152,5000120,100000,60,10,,,
5000054,5000055,150000,180,10,9.9942756,1609,180
5000054,5000055,150000,180,10,9.9942756,1609,180
5000161,5000131,5000000,180,10,,,180
5000161,5000131,150000000,180,10,,0,
5000161,5000131,4500000,180,10,,0,
5000049,5000048,180000,28,10.85,10.8442126,7289,28
5000049,5000048,180000,28,10.85,10.8442126,7289,28
5000161,5000131,1000000,180,10,,,180
5000024,5000025,900000,36,10,,0,36
5000043,5000043,250000,36,10.85,10.8457638,8153,36
5000010,5000009,150000,10,10.85,10.8426004,15632,10
5000024,5000025,1100000,36,10,,0,36
5000024,5000025,1100000,36,10,,0,36
5000024,5000025,1100000,36,10,,0,36
5000024,5000025,1100000,36,10,,0,36
5000161,5000131,4500000,180,10,,0,
5000161,5000131,4500000,180,10,,0,
5000161,5000131,4500000,180,10,,0,
5000054,5000055,1500000,360,10.85,9.9992566,48268,36
5000054,5000055,1500000,360,10.85,9.9992566,48268,36
5000010,5000009,150000,10,10.85,10.8426004,15632,10
5000010,5000009,150000,10,10.85,10.8426004,15632,10
5000010,5000009,150000,10,10.85,10.8426004,15632,10
5000010,5000009,150000,10,10.85,10.8426004,15632,10
5000010,5000009,150000,10,10.85,10.8426004,15632,10
5000018,5000020,900000,60,10,9.9807037,2120,60
5000024,5000025,900000,36,10,,0,36
5000024,5000025,900000,36,10,,0,36
5000024,5000025,900000,36,10,,0,36
5000024,5000025,900000,36,10,,0,36
5000024,5000025,900000,36,10,,0,36
5000024,5000025,900000,36,10,,0,36
5000024,5000025,900000,36,10,,0,36
5000024,5000025,900000,36,10,,0,36
5000024,5000025,900000,36,10,,0,36
5000024,5000025,900000,36,10,,0,36
5000024,5000025,900000,36,10,,0,36
5000024,5000025,900000,36,10,,0,36
5000188,5000118,450000,36,10,,0,36
5000188,5000118,450000,36,10,,0,36
5000188,5000118,450000,36,10,,0,36
5000188,5000118,450000,36,10,,0,36
5000188,5000118,450000,36,10,,0,36
5000188,5000118,450000,36,10,,0,36
5000018,5000020,900000,60,10,9.9807037,2120,60
5000018,5000020,900000,60,10,9.9807037,2120,60
5000161,5000131,100000000,180,10,,0,
5000043,5000042,2500000,481,10.85,10.849709,23037,180
5000054,5000055,150000,180,10,9.9942756,1609,180
5000054,5000055,150000,180,10,9.9942756,1609,180
5000054,5000055,150000,180,10,9.9942756,1609,180
5000054,5000055,150000,180,10,9.9942756,1609,180
5000043,5000042,2500000,481,10.85,10.849709,23037,180
5000012,5000014,2500000,481,10.85,10.84995,170437,180
5000006,5000005,4235325,180,10,9.9998112,45390,180
5000006,5000005,4235325,180,10,9.9998112,45390,180
5000006,5000005,4235325,180,10,9.9998112,45390,180
5000006,5000005,4235325,180,10,9.9998112,45390,180
5000006,5000005,4235325,180,10,9.9998112,45390,180
5000006,5000005,4235325,180,10,9.9998112,45390,180
5000006,5000005,4235325,180,10,9.9998112,45390,180
5000006,5000005,4235325,180,10,9.9998112,45390,180
5000006,5000005,4235325,180,10,9.9998112,45390,180
5000006,5000005,4235325,180,10,9.9998112,45390,180
5000056,5000056,400000,60,10.85,10.1810145,624,30
5000006,5000005,4235325,180,10,9.9998112,45390,180
5000006,5000005,4235325,180,10,9.9998112,45390,180
5000006,5000005,4235325,180,10,9.9998112,45390,180
5000056,5000056,400000,60,10.85,10.8487909,17372,60
5000056,5000056,400000,60,10.85,10.8487909,17372,60
5000056,5000056,400000,60,10.85,10.8487909,17372,60
5000056,5000056,400000,60,10.85,10.8487909,17372,60
5000056,5000056,400000,60,10.85,10.8487909,17372,60
5000161,5000131,1200000,180,10,,0,
5000056,5000056,400000,60,10.85,10.8488041,17362,60
5000161,5000131,450000,180,10,,0,
5000161,5000131,450000,180,10,,0,
5000161,5000131,450000,180,10,,0,
5000056,5000056,400000,60,10.85,10.8488041,17362,60
5000056,5000056,400000,60,10.85,10.8488041,17362,60
5000161,5000131,90000000,180,10,,0,
5000161,5000131,90000000,180,10,,0,
5000161,5000131,1200000,180,10,,0,
5000161,5000131,1200000,180,10,,0,
5000161,5000131,90000000,180,10,,0,
5000161,5000131,1200000,180,10,,0,
5000161,5000131,1200000,180,10,,0,
5000161,5000131,1200000,180,10,,0,
5000056,5000056,400000,60,10.85,10.8488041,17362,60
5000056,5000056,400000,60,10.85,10.8488041,17362,60
5000056,5000056,400000,60,10.85,10.8488041,17362,60
5000056,5000056,400000,60,10.85,10.8488041,17362,60
5000056,5000056,7500000,12,10.85,10.849795,657143,12
5000029,5000030,7500000,12,10.85,10.849795,657143,12
5000029,5000030,7500000,12,10.85,10.849795,657143,12
5000010,5000009,150000,10,10.85,10.8426004,15632,10
5000010,5000009,150000,10,10.85,10.8426004,15632,10
5000010,5000009,300000,10,10.85,10.8422347,9055,18
5000018,5000020,100000,10,10,,,
5000018,5000020,100000,10,10,,,
5000042,5000041,500000,12,10.85,10.8373442,8798,12
5000042,5000041,500000,12,10.85,10.8373442,8798,12
5000042,5000041,500000,12,10.85,10.8373442,8798,12
5000161,5000131,1000000,180,10,,,180
5000043,5000043,4500000,180,10.85,,,
5000054,5000055,4500000,180,10,7.9998971,42895,180
5000054,5000055,4500000,180,10,7.9998971,42895,180
5000161,5000131,1000000,180,10,,,180
5000161,5000131,450000,180,10,,0,
5000024,5000025,700000,36,10,,0,36
5000161,5000131,150000001,180,10,,,180
5000161,5000131,150000001,180,10,,,180
5000161,5000131,150000001,180,10,,,180
5000004,5000003,300000,120,13.35,13.3472312,4522,120
5000004,5000003,300000,120,13.35,13.3472312,4522,120
5000161,5000131,450000,180,10,,0,
5000161,5000131,450000,180,10,,0,
5000161,5000131,450000,180,10,,0,
5000024,5000025,700000,36,10,,0,36
5000024,5000025,700000,36,10,,0,36
5000024,5000025,700000,36,10,,0,36
5000024,5000025,700000,36,10,,0,36
5000024,5000025,700000,36,10,,0,36
5000024,5000025,700000,36,10,,0,36
5000024,5000025,700000,36,10,,0,36
5000012,5000014,2500000,481,10.85,10.847952,10814,60
5000012,5000014,2500000,481,10.85,10.847952,10814,60
5000024,5000025,700000,36,10,,0,36
5000024,5000025,700000,36,10,,0,36
5000620,5000380,2000,180,10,,,180
5000161,5000131,5600000,180,10,,0,
5000161,5000131,5600000,180,10,,0,
5000161,5000131,5600000,180,10,,0,
5000024,5000025,700000,36,10,,0,36
5000024,5000025,700000,36,10,,0,36
5000024,5000025,700000,36,10,,0,36
5000024,5000025,700000,36,10,,0,36
5000024,5000025,700000,36,10,,0,36
5000054,5000055,2500000,481,10,9.9986819,19117,60
5000054,5000055,2500000,481,10,9.9986819,19117,60
5000054,5000055,2500000,481,10,9.9986819,19117,60
5000054,5000055,2500000,481,10,9.9986819,19117,60
5000054,5000055,2500000,481,10,9.9986819,19117,60
5000056,5000056,400000,60,10.85,10.8487909,17372,60
5000056,5000056,400000,60,10.85,10.8487909,17372,60
5000056,5000056,400000,60,10.85,10.8487909,17372,60
5000056,5000056,400000,60,10.85,10.8487909,17372,60
5000056,5000056,400000,60,10.85,10.8487909,17372,60
5000056,5000056,400000,60,10.85,10.8487909,17372,60
5000024,5000025,600000,36,10,,0,36
5000024,5000025,600000,36,10,,0,36
5000024,5000025,600000,36,10,,0,36
5000024,5000025,600000,36,10,,0,36
5000024,5000025,600000,36,10,,0,36
5000006,5000005,4235325,180,10,9.9998112,45390,180
5000043,5000042,300000,60,10.85,,,
5000043,5000042,300000,60,10.85,,,
5000024,5000025,900000,36,10,,0,36
5000024,5000025,900000,36,10,,0,36
